model_type,train_protocol,seed,eval_profile,eval_protocol,pos_err_median_60s,pos_err_p95_60s,rot_geodesic_median_60s,max_so3_orth_error,energy_span_median_60s,max_abs_energy_delta_median_60s,completion_60s,n_traj,n_completed,train_best_loss,train_nbad,train_anomaly,rollout_collapse,rollout_diverged,source
phnode_full,v4lite,43,clean,clean,0.8202368015971612,1.856371738804935,0.01732553541660309,1.3308468624018133e-05,17.355878829956055,12.423558235168457,0.9777777777777777,90,88,0.006239492368573944,0,0,0,0,checkpoints/sweep_oc_phase1a_decision_v4lite_t2_wpfrag_phnode_full/main_phnode_full_seed43/rollout_benchmark/phase1a_iideval_traj30_seed42_20260524_015451/clean/summary.json
phnode_full,v4lite,44,clean,clean,0.8575823396089693,2.9036047572281647,0.016594570130109787,1.295157017011661e-05,20.452587127685547,14.175460815429688,0.9888888888888889,90,89,0.006269547156989574,0,0,0,0,checkpoints/sweep_oc_phase1a_decision_v4lite_t2_wpfrag_phnode_full/main_phnode_full_seed44/rollout_benchmark/phase1a_iideval_traj30_seed42_20260524_021036/clean/summary.json
phnode_full,v4lite,45,clean,clean,1.0935818277783445,2.668227443046858,0.02968145813792944,1.371503276459407e-05,20.629813194274902,14.936899185180664,0.9777777777777777,90,88,0.00642741556900243,0,0,0,0,checkpoints/sweep_oc_phase1a_decision_v4lite_t2_wpfrag_phnode_full/main_phnode_full_seed45/rollout_benchmark/phase1a_iideval_traj30_seed42_20260524_022624/clean/summary.json
phnode_full,v4lite,46,clean,clean,1.146034551910825,2.277519741248715,0.027707403525710106,1.4891312275722157e-05,14.805384159088135,10.721648693084717,0.9777777777777777,90,88,0.006341102998703718,0,0,0,0,checkpoints/sweep_oc_phase1a_decision_v4lite_t2_wpfrag_phnode_full/main_phnode_full_seed46/rollout_benchmark/phase1a_iideval_traj30_seed42_20260524_024211/clean/summary.json
phnode_full,v4lite,42,degraded_eval,iid_noisy_ic,1.7349590073552117,6.28560171767466,0.026989126577973366,1.148304818343604e-05,14.037557601928711,10.244891166687012,0.9888888888888889,90,89,0.006297016981989145,0,0,0,0,checkpoints/sweep_oc_phase1a_decision_v4lite_t2_wpfrag_phnode_full/main_phnode_full_seed42/rollout_benchmark/phase1a_iideval_traj30_seed42_20260524_013912/degraded_eval/summary.json
phnode_full,v4lite,43,degraded_eval,iid_noisy_ic,1.7519935648010818,5.09703786863886,0.025319542735815048,1.2824607438233215e-05,17.350356101989746,12.61200475692749,0.9777777777777777,90,88,0.006239492368573944,0,0,0,0,checkpoints/sweep_oc_phase1a_decision_v4lite_t2_wpfrag_phnode_full/main_phnode_full_seed43/rollout_benchmark/phase1a_iideval_traj30_seed42_20260524_015451/degraded_eval/summary.json
phnode_full,v4lite,44,degraded_eval,iid_noisy_ic,1.525106448317203,6.66763232952433,0.024341311305761337,1.2395407793519553e-05,20.437171936035156,14.282554626464844,0.9888888888888889,90,89,0.006269547156989574,0,0,0,0,checkpoints/sweep_oc_phase1a_decision_v4lite_t2_wpfrag_phnode_full/main_phnode_full_seed44/rollout_benchmark/phase1a_iideval_traj30_seed42_20260524_021036/degraded_eval/summary.json
phnode_full,v4lite,45,degraded_eval,iid_noisy_ic,1.8948811529292344,5.8113567414553335,0.034751562401652336,1.4800015378568787e-05,20.62868309020996,14.97260856628418,0.9777777777777777,90,88,0.00642741556900243,0,0,0,0,checkpoints/sweep_oc_phase1a_decision_v4lite_t2_wpfrag_phnode_full/main_phnode_full_seed45/rollout_benchmark/phase1a_iideval_traj30_seed42_20260524_022624/degraded_eval/summary.json
phnode_full,v4lite,46,degraded_eval,iid_noisy_ic,1.6024479238245783,6.386960183550407,0.02961135469377041,1.1647406608972233e-05,14.805355072021484,10.834723949432373,0.9777777777777777,90,88,0.006341102998703718,0,0,0,0,checkpoints/sweep_oc_phase1a_decision_v4lite_t2_wpfrag_phnode_full/main_phnode_full_seed46/rollout_benchmark/phase1a_iideval_traj30_seed42_20260524_024211/degraded_eval/summary.json
phnode_full,v4lite,42,heading_biased_eval,iid_noisy_ic,3.187916228574649,5.528073985069567,0.03873700648546219,1.1135337445011828e-05,14.044938087463379,10.157270431518555,0.9888888888888889,90,89,0.006297016981989145,0,0,0,0,checkpoints/sweep_oc_phase1a_decision_v4lite_t2_wpfrag_phnode_full/main_phnode_full_seed42/rollout_benchmark/phase1a_iideval_traj30_seed42_20260524_013912/heading_biased_eval/summary.json
phnode_full,v4lite,43,heading_biased_eval,iid_noisy_ic,3.017185525161776,5.406061523984673,0.0349440835416317,1.2479823453759309e-05,17.35484027862549,12.524615287780762,0.9777777777777777,90,88,0.006239492368573944,0,0,0,0,checkpoints/sweep_oc_phase1a_decision_v4lite_t2_wpfrag_phnode_full/main_phnode_full_seed43/rollout_benchmark/phase1a_iideval_traj30_seed42_20260524_015451/heading_biased_eval/summary.json
phnode_full,v4lite,44,heading_biased_eval,iid_noisy_ic,3.1599624069102092,5.438863993607079,0.0417303666472435,1.4506777915812563e-05,20.44611358642578,14.203018188476562,0.9888888888888889,90,89,0.006269547156989574,0,0,0,0,checkpoints/sweep_oc_phase1a_decision_v4lite_t2_wpfrag_phnode_full/main_phnode_full_seed44/rollout_benchmark/phase1a_iideval_traj30_seed42_20260524_021036/heading_biased_eval/summary.json
phnode_full,v4lite,45,heading_biased_eval,iid_noisy_ic,3.1584391272937675,5.9536366869679895,0.04570137709379196,1.2388926734274719e-05,20.633721351623535,14.939168453216553,0.9777777777777777,90,88,0.00642741556900243,0,0,0,0,checkpoints/sweep_oc_phase1a_decision_v4lite_t2_wpfrag_phnode_full/main_phnode_full_seed45/rollout_benchmark/phase1a_iideval_traj30_seed42_20260524_022624/heading_biased_eval/summary.json
phnode_full,v4lite,46,heading_biased_eval,iid_noisy_ic,3.2632790058230983,5.487262431242408,0.04194255545735359,1.2095470083295368e-05,14.806053638458252,10.780794143676758,0.9777777777777777,90,88,0.006341102998703718,0,0,0,0,checkpoints/sweep_oc_phase1a_decision_v4lite_t2_wpfrag_phnode_full/main_phnode_full_seed46/rollout_benchmark/phase1a_iideval_traj30_seed42_20260524_024211/heading_biased_eval/summary.json
phnode_full,v4lite,42,nominal_eval,iid_noisy_ic,1.0064269552505805,3.3525922571230917,0.02061254344880581,1.2401410458551254e-05,14.045616149902344,10.159307479858398,0.9888888888888889,90,89,0.006297016981989145,0,0,0,0,checkpoints/sweep_oc_phase1a_decision_v4lite_t2_wpfrag_phnode_full/main_phnode_full_seed42/rollout_benchmark/phase1a_iideval_traj30_seed42_20260524_013912/nominal_eval/summary.json
phnode_full,v4lite,43,nominal_eval,iid_noisy_ic,0.986760601437378,2.6972832614036806,0.020501941442489624,1.3251727978058625e-05,17.353025436401367,12.524893283843994,0.9777777777777777,90,88,0.006239492368573944,0,0,0,0,checkpoints/sweep_oc_phase1a_decision_v4lite_t2_wpfrag_phnode_full/main_phnode_full_seed43/rollout_benchmark/phase1a_iideval_traj30_seed42_20260524_015451/nominal_eval/summary.json
phnode_full,v4lite,44,nominal_eval,iid_noisy_ic,1.0800006510010618,3.717789871644408,0.018905028700828552,1.2685734873230103e-05,20.444753646850586,14.211152076721191,0.9888888888888889,90,89,0.006269547156989574,0,0,0,0,checkpoints/sweep_oc_phase1a_decision_v4lite_t2_wpfrag_phnode_full/main_phnode_full_seed44/rollout_benchmark/phase1a_iideval_traj30_seed42_20260524_021036/nominal_eval/summary.json
phnode_full,v4lite,45,nominal_eval,iid_noisy_ic,1.394838645955349,3.343618793345504,0.0333859808743,1.1959890798607375e-05,20.628912925720215,14.93976879119873,0.9777777777777777,90,88,0.00642741556900243,0,0,0,0,checkpoints/sweep_oc_phase1a_decision_v4lite_t2_wpfrag_phnode_full/main_phnode_full_seed45/rollout_benchmark/phase1a_iideval_traj30_seed42_20260524_022624/nominal_eval/summary.json
phnode_full,v4lite,46,nominal_eval,iid_noisy_ic,1.0899295537050566,3.587486518687333,0.028340302407741547,1.1521553460625e-05,14.805391311645508,10.788040161132812,0.9777777777777777,90,88,0.006341102998703718,0,0,0,0,checkpoints/sweep_oc_phase1a_decision_v4lite_t2_wpfrag_phnode_full/main_phnode_full_seed46/rollout_benchmark/phase1a_iideval_traj30_seed42_20260524_024211/nominal_eval/summary.json
phnode_full,v4lite,42,nominal_eval,v4_lite,1.020522791219422,2.9772894164189427,0.021595481783151627,1.1387853191990871e-05,14.052413940429688,10.120737075805664,0.9888888888888889,90,89,0.006297016981989145,0,0,0,0,checkpoints/sweep_oc_phase1a_decision_v4lite_t2_wpfrag_phnode_full/main_phnode_full_seed42/rollout_benchmark/phase1a_v4eval_traj30_seed42_20260524_031213/summary.json
phnode_full,v4lite,43,nominal_eval,v4_lite,0.9435833344916099,2.323505183356373,0.017123620957136154,1.1809958778030705e-05,17.35944366455078,12.459802150726318,0.9777777777777777,90,88,0.006239492368573944,0,0,0,0,checkpoints/sweep_oc_phase1a_decision_v4lite_t2_wpfrag_phnode_full/main_phnode_full_seed43/rollout_benchmark/phase1a_v4eval_traj30_seed42_20260524_031340/summary.json
