model_type,train_protocol,eval_profile,eval_protocol,scope,horizon_s,n_seeds_total,n_anomaly_excluded,n_rollout_diverged,n_seeds_used,posmed_mean_of_seed_medians,posmed_median_of_seed_medians,posmed_min,posmed_max,posp95_mean_of_seed_p95s,posp95_median_of_seed_p95s,posp95_max,completion_mean,excluded_seeds,diverged_seeds
ablate_no_lift,clean,nominal_eval,iid_noisy_ic,overall,60.0,5,1,0,4,1.0508,0.9409,0.8114,1.5102,3.1692,2.7346,4.6293,,43,
ablate_no_lift,clean,nominal_eval,v4_lite,CHIRP,10.0,5,1,0,4,0.1337,0.1264,0.1037,0.1785,0.2963,0.2929,0.3297,,43,
ablate_no_lift,clean,nominal_eval,v4_lite,CHIRP,30.0,5,1,0,4,0.3831,0.362,0.3387,0.4696,1.0684,0.9972,1.3915,,43,
ablate_no_lift,clean,nominal_eval,v4_lite,CHIRP,60.0,5,1,0,4,1.0098,0.8389,0.6975,1.6636,2.5987,2.445,3.536,,43,
ablate_no_lift,clean,nominal_eval,v4_lite,OU,10.0,5,1,0,4,0.1415,0.1357,0.1101,0.1844,0.3071,0.2895,0.3945,,43,
ablate_no_lift,clean,nominal_eval,v4_lite,OU,30.0,5,1,0,4,0.4322,0.3597,0.3177,0.6917,1.0831,1.0923,1.2893,,43,
ablate_no_lift,clean,nominal_eval,v4_lite,OU,60.0,5,1,0,4,1.123,1.1176,0.8163,1.4404,2.8151,2.4871,4.1509,,43,
ablate_no_lift,clean,nominal_eval,v4_lite,PRBS,10.0,5,1,0,4,0.1061,0.1008,0.0826,0.1403,0.316,0.292,0.3968,,43,
ablate_no_lift,clean,nominal_eval,v4_lite,PRBS,30.0,5,1,0,4,0.3161,0.2857,0.2276,0.4654,1.005,0.9699,1.2108,,43,
ablate_no_lift,clean,nominal_eval,v4_lite,PRBS,60.0,5,1,0,4,0.9308,0.8025,0.6989,1.4192,2.2167,1.9967,3.144,,43,
ablate_no_lift,clean,nominal_eval,v4_lite,overall,10.0,5,1,0,4,0.1276,0.1182,0.1044,0.1695,0.3146,0.294,0.3968,,43,
ablate_no_lift,clean,nominal_eval,v4_lite,overall,30.0,5,1,0,4,0.3759,0.3357,0.3013,0.5308,1.0752,1.0364,1.2955,,43,
ablate_no_lift,clean,nominal_eval,v4_lite,overall,60.0,5,1,0,4,1.0028,0.8933,0.7324,1.492,2.6796,2.4505,3.7774,,43,
ablate_no_lift,iid,clean,clean,CHIRP,10.0,5,0,0,5,0.0969,0.0901,0.0651,0.1328,0.1578,0.1674,0.2121,,,
ablate_no_lift,iid,clean,clean,CHIRP,30.0,5,0,0,5,0.2314,0.2475,0.1935,0.2544,0.5832,0.6421,0.7388,,,
ablate_no_lift,iid,clean,clean,CHIRP,60.0,5,0,0,5,0.5485,0.4871,0.474,0.7102,1.4828,1.6442,1.8381,,,
ablate_no_lift,iid,clean,clean,OU,10.0,5,0,0,5,0.1312,0.1272,0.1136,0.1457,0.322,0.3108,0.4463,,,
ablate_no_lift,iid,clean,clean,OU,30.0,5,0,0,5,0.4405,0.449,0.3519,0.5177,1.1007,1.0594,1.344,,,
ablate_no_lift,iid,clean,clean,OU,60.0,5,0,0,5,1.1649,1.1706,0.9132,1.3921,3.2337,3.2397,4.0403,,,
ablate_no_lift,iid,clean,clean,PRBS,10.0,5,0,0,5,0.0984,0.0952,0.0658,0.129,0.2437,0.2359,0.2882,,,
ablate_no_lift,iid,clean,clean,PRBS,30.0,5,0,0,5,0.322,0.3428,0.2194,0.3912,0.7378,0.8119,0.9341,,,
ablate_no_lift,iid,clean,clean,PRBS,60.0,5,0,0,5,0.7987,0.7419,0.6618,0.9606,2.0822,2.1497,3.079,,,
ablate_no_lift,iid,clean,clean,overall,10.0,5,0,0,5,0.1081,0.1059,0.0773,0.136,0.2684,0.2834,0.2892,,,
ablate_no_lift,iid,clean,clean,overall,30.0,5,0,0,5,0.3351,0.3389,0.2237,0.3973,0.8403,0.8461,1.0318,,,
ablate_no_lift,iid,clean,clean,overall,60.0,5,0,0,5,0.8291,0.89,0.6618,0.9557,2.742,2.5996,3.5803,,,
ablate_no_lift,iid,degraded_eval,iid_noisy_ic,CHIRP,10.0,5,0,0,5,0.2562,0.2416,0.2374,0.2861,0.8195,0.8254,0.8424,,,
ablate_no_lift,iid,degraded_eval,iid_noisy_ic,CHIRP,30.0,5,0,0,5,0.7256,0.7197,0.6946,0.772,2.2062,2.2405,2.2823,,,
ablate_no_lift,iid,degraded_eval,iid_noisy_ic,CHIRP,60.0,5,0,0,5,1.5368,1.508,1.1833,1.7865,4.9091,4.9545,5.1839,,,
ablate_no_lift,iid,degraded_eval,iid_noisy_ic,OU,10.0,5,0,0,5,0.3382,0.3353,0.3129,0.3685,0.8944,0.888,1.0056,,,
ablate_no_lift,iid,degraded_eval,iid_noisy_ic,OU,30.0,5,0,0,5,1.1024,1.1155,0.9892,1.1939,2.9317,2.8729,3.3316,,,
ablate_no_lift,iid,degraded_eval,iid_noisy_ic,OU,60.0,5,0,0,5,2.3057,2.3457,2.1356,2.4945,6.2727,6.4782,7.1499,,,
ablate_no_lift,iid,degraded_eval,iid_noisy_ic,PRBS,10.0,5,0,0,5,0.3037,0.3048,0.2711,0.3309,0.9036,0.8966,0.9433,,,
ablate_no_lift,iid,degraded_eval,iid_noisy_ic,PRBS,30.0,5,0,0,5,0.8352,0.7947,0.7255,0.9652,2.504,2.495,2.7057,,,
ablate_no_lift,iid,degraded_eval,iid_noisy_ic,PRBS,60.0,5,0,0,5,1.5892,1.4989,1.345,1.9851,5.7534,5.8159,6.4449,,,
ablate_no_lift,iid,degraded_eval,iid_noisy_ic,overall,10.0,5,0,0,5,0.302,0.3018,0.2909,0.3147,0.9026,0.9088,0.9396,,,
ablate_no_lift,iid,degraded_eval,iid_noisy_ic,overall,30.0,5,0,0,5,0.8584,0.8644,0.7822,0.9383,2.6009,2.6417,2.6602,,,
ablate_no_lift,iid,degraded_eval,iid_noisy_ic,overall,60.0,5,0,0,5,1.8616,1.8027,1.7914,2.057,5.733,5.7288,5.8604,,,
ablate_no_lift,iid,heading_biased_eval,iid_noisy_ic,CHIRP,10.0,5,0,0,5,0.4787,0.4862,0.4582,0.4988,0.6961,0.6939,0.7203,,,
ablate_no_lift,iid,heading_biased_eval,iid_noisy_ic,CHIRP,30.0,5,0,0,5,1.4125,1.4158,1.3876,1.4429,2.2465,2.2346,2.3693,,,
ablate_no_lift,iid,heading_biased_eval,iid_noisy_ic,CHIRP,60.0,5,0,0,5,2.9928,2.9724,2.9097,3.0767,4.7655,4.6977,4.8997,,,
ablate_no_lift,iid,heading_biased_eval,iid_noisy_ic,OU,10.0,5,0,0,5,0.5506,0.544,0.5376,0.5838,0.9377,0.94,1.0074,,,
ablate_no_lift,iid,heading_biased_eval,iid_noisy_ic,OU,30.0,5,0,0,5,1.7192,1.6498,1.6335,1.8479,2.7807,2.7884,2.9854,,,
ablate_no_lift,iid,heading_biased_eval,iid_noisy_ic,OU,60.0,5,0,0,5,3.4646,3.4661,3.1059,3.8679,6.0333,5.6462,7.015,,,
ablate_no_lift,iid,heading_biased_eval,iid_noisy_ic,PRBS,10.0,5,0,0,5,0.4255,0.4291,0.3886,0.4431,0.8579,0.8525,0.899,,,
ablate_no_lift,iid,heading_biased_eval,iid_noisy_ic,PRBS,30.0,5,0,0,5,1.537,1.5339,1.419,1.6345,2.7788,2.8533,2.976,,,
ablate_no_lift,iid,heading_biased_eval,iid_noisy_ic,PRBS,60.0,5,0,0,5,3.047,3.1069,2.7524,3.2422,4.9766,5.0403,5.3919,,,
ablate_no_lift,iid,heading_biased_eval,iid_noisy_ic,overall,10.0,5,0,0,5,0.4983,0.4988,0.4881,0.5063,0.8907,0.8913,0.9122,,,
ablate_no_lift,iid,heading_biased_eval,iid_noisy_ic,overall,30.0,5,0,0,5,1.551,1.5257,1.4901,1.6294,2.6989,2.6902,2.8321,,,
ablate_no_lift,iid,heading_biased_eval,iid_noisy_ic,overall,60.0,5,0,0,5,3.1667,3.1775,3.0374,3.2878,5.4201,5.1922,5.9994,,,
ablate_no_lift,iid,nominal_eval,iid_noisy_ic,CHIRP,10.0,5,0,0,5,0.1457,0.1291,0.1212,0.1971,0.3522,0.3497,0.3657,,,
ablate_no_lift,iid,nominal_eval,iid_noisy_ic,CHIRP,30.0,5,0,0,5,0.4179,0.4289,0.3346,0.5226,0.9942,0.9725,1.1181,,,
ablate_no_lift,iid,nominal_eval,iid_noisy_ic,CHIRP,60.0,5,0,0,5,0.8016,0.7497,0.5656,1.0599,2.3218,2.3111,2.6129,,,
ablate_no_lift,iid,nominal_eval,iid_noisy_ic,OU,10.0,5,0,0,5,0.1965,0.1925,0.186,0.2127,0.4862,0.4909,0.554,,,
ablate_no_lift,iid,nominal_eval,iid_noisy_ic,OU,30.0,5,0,0,5,0.617,0.6456,0.4984,0.6531,1.7092,1.7532,1.8697,,,
ablate_no_lift,iid,nominal_eval,iid_noisy_ic,OU,60.0,5,0,0,5,1.4331,1.4369,1.356,1.4821,4.2132,4.2615,4.7839,,,
ablate_no_lift,iid,nominal_eval,iid_noisy_ic,PRBS,10.0,5,0,0,5,0.1608,0.1571,0.1439,0.1884,0.4076,0.4081,0.4512,,,
ablate_no_lift,iid,nominal_eval,iid_noisy_ic,PRBS,30.0,5,0,0,5,0.3903,0.3871,0.2964,0.4864,1.2767,1.3004,1.4813,,,
ablate_no_lift,iid,nominal_eval,iid_noisy_ic,PRBS,60.0,5,0,0,5,0.8955,0.7823,0.7465,1.1173,2.9182,2.8665,3.4933,,,
ablate_no_lift,iid,nominal_eval,iid_noisy_ic,overall,10.0,5,0,0,5,0.1669,0.1662,0.1407,0.2004,0.4252,0.4166,0.4664,,,
ablate_no_lift,iid,nominal_eval,iid_noisy_ic,overall,30.0,5,0,0,5,0.4582,0.447,0.3926,0.5468,1.3606,1.3197,1.4814,,,
ablate_no_lift,iid,nominal_eval,iid_noisy_ic,overall,60.0,5,0,0,5,1.0043,1.0093,0.8266,1.1047,3.4515,3.1251,4.2513,,,
