path,size_bytes,under_rollout_benchmark,referenced_by_tracked_doc,action,reason
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_bu_only_seed44/rollout_benchmark/resampled_traj30_seed42_20260405_034021/diagnostic_plots/rollout_failure_OU_seed200046.png,483849,1,0,purge,regenerable from the CSV/JSON beside it
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_bu_only_seed44/rollout_benchmark/resampled_traj30_seed42_20260405_034021/diagnostic_plots/rollout_failure_OU_seed200067.png,509775,1,0,purge,regenerable from the CSV/JSON beside it
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_bu_only_seed44/rollout_benchmark/resampled_traj30_seed42_20260405_034021/diagnostic_plots/rollout_failure_PRBS_seed42.png,465363,1,0,purge,regenerable from the CSV/JSON beside it
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_bu_only_seed44/rollout_benchmark/resampled_traj30_seed42_20260405_034021/diagnostic_plots/rollout_failure_PRBS_seed65.png,469084,1,0,purge,regenerable from the CSV/JSON beside it
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_bu_only_seed44/rollout_benchmark/resampled_traj30_seed42_20260405_034021/diagnostic_plots/rollout_failure_PRBS_seed71.png,500608,1,0,purge,regenerable from the CSV/JSON beside it
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_bu_only_seed44/rollout_benchmark/resampled_traj30_seed42_20260405_034021/diagnostic_plots/velocity_violation_OU_seed200062.png,503536,1,0,purge,regenerable from the CSV/JSON beside it
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_bu_only_seed44/rollout_benchmark/resampled_traj30_seed42_20260405_034021/error_growth.png,577353,1,0,purge,regenerable from the CSV/JSON beside it
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_bu_only_seed44/rollout_benchmark/resampled_traj30_seed42_20260405_034021/example_rollouts.png,783648,1,0,purge,regenerable from the CSV/JSON beside it
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_bu_only_seed44/rollout_benchmark/resampled_traj30_seed42_20260405_034021/terminal_error_boxplots.png,95337,1,0,purge,regenerable from the CSV/JSON beside it
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_diag_damping_seed42/rollout_benchmark/resampled_traj30_seed42_20260405_031828/diagnostic_plots/high_terminal_error_PRBS_seed68.png,593720,1,0,purge,regenerable from the CSV/JSON beside it
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_diag_damping_seed42/rollout_benchmark/resampled_traj30_seed42_20260405_031828/diagnostic_plots/rollout_failure_OU_seed200051.png,549880,1,0,purge,regenerable from the CSV/JSON beside it
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_diag_damping_seed42/rollout_benchmark/resampled_traj30_seed42_20260405_031828/diagnostic_plots/velocity_violation_OU_seed200055.png,648937,1,0,purge,regenerable from the CSV/JSON beside it
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_diag_damping_seed42/rollout_benchmark/resampled_traj30_seed42_20260405_031828/diagnostic_plots/velocity_violation_OU_seed200061.png,597303,1,0,purge,regenerable from the CSV/JSON beside it
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_diag_damping_seed42/rollout_benchmark/resampled_traj30_seed42_20260405_031828/diagnostic_plots/velocity_violation_OU_seed200062.png,554605,1,0,purge,regenerable from the CSV/JSON beside it
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_diag_damping_seed42/rollout_benchmark/resampled_traj30_seed42_20260405_031828/diagnostic_plots/velocity_violation_OU_seed200068.png,583543,1,0,purge,regenerable from the CSV/JSON beside it
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_diag_damping_seed42/rollout_benchmark/resampled_traj30_seed42_20260405_031828/error_growth.png,581448,1,0,purge,regenerable from the CSV/JSON beside it
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_diag_damping_seed42/rollout_benchmark/resampled_traj30_seed42_20260405_031828/example_rollouts.png,872161,1,0,purge,regenerable from the CSV/JSON beside it
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_diag_damping_seed42/rollout_benchmark/resampled_traj30_seed42_20260405_031828/terminal_error_boxplots.png,95681,1,0,purge,regenerable from the CSV/JSON beside it
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_diag_damping_seed43/rollout_benchmark/resampled_traj30_seed42_20260405_032112/diagnostic_plots/high_terminal_error_OU_seed200048.png,548981,1,0,purge,regenerable from the CSV/JSON beside it
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_diag_damping_seed43/rollout_benchmark/resampled_traj30_seed42_20260405_032112/diagnostic_plots/high_terminal_error_OU_seed200064.png,507081,1,0,purge,regenerable from the CSV/JSON beside it
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_diag_damping_seed43/rollout_benchmark/resampled_traj30_seed42_20260405_032112/diagnostic_plots/high_terminal_error_PRBS_seed42.png,523469,1,0,purge,regenerable from the CSV/JSON beside it
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_diag_damping_seed43/rollout_benchmark/resampled_traj30_seed42_20260405_032112/diagnostic_plots/rollout_failure_OU_seed200051.png,603614,1,0,purge,regenerable from the CSV/JSON beside it
