model_type,seed,epoch,train_total,test_total,train_so3_orth,train_success_rate
phnode_full,42,132,0.0065979,0.0090459,1.16942e-07,1
phnode_full,42,133,0.00662046,0.00623109,1.16853e-07,1
phnode_full,42,134,0.00517168,0.00493484,1.16709e-07,1
phnode_full,42,135,0.00457122,0.00472962,1.16814e-07,1
phnode_full,42,136,0.00445216,0.00459387,1.16935e-07,1
phnode_full,42,137,0.00444981,0.00460602,1.16897e-07,1
phnode_full,42,138,0.00439504,0.00467425,1.16769e-07,1
phnode_full,42,139,0.00440766,0.00468994,1.16972e-07,1
phnode_full,42,140,0.00436797,0.00454834,1.16926e-07,1
phnode_full,42,141,0.00432311,0.00447338,1.16931e-07,1
phnode_full,42,142,0.00432218,0.00452597,1.16872e-07,1
phnode_full,42,143,0.00430128,0.0045705,1.16978e-07,1
phnode_full,42,144,0.00431144,0.00450633,1.16885e-07,1
phnode_full,42,145,0.00428987,0.0044182,1.16914e-07,1
phnode_full,42,146,0.0042455,0.00440947,1.1711e-07,1
phnode_full,42,147,0.00427533,0.00457559,1.17046e-07,1
phnode_full,42,148,0.00428652,0.00462307,1.1688e-07,1
phnode_full,42,149,0.00425978,0.0046052,1.16835e-07,1
phnode_full,42,150,0.00424959,0.0043722,1.17009e-07,1
phnode_full,42,151,0.00419478,0.00443715,1.16924e-07,1
phnode_full,42,152,0.00420772,0.00433475,1.17063e-07,1
phnode_full,42,153,0.00419146,0.00445861,1.1701e-07,1
phnode_full,42,154,0.00417696,0.00443421,1.16986e-07,1
phnode_full,42,155,0.00423752,0.00439026,1.16958e-07,1
phnode_full,42,156,0.00415006,0.0043289,1.17102e-07,1
phnode_full,42,157,0.00417599,0.00434458,1.16915e-07,1
phnode_full,42,158,0.00415649,0.00442072,1.17047e-07,1
phnode_full,42,159,0.00418869,0.00453212,1.17024e-07,1
phnode_full,42,160,0.00421781,0.00463503,1.17179e-07,1
phnode_full,42,161,0.00417004,0.00431211,1.17067e-07,1
phnode_full,42,162,0.00411594,0.00437417,1.17063e-07,1
phnode_full,42,163,0.00409846,0.0043301,1.17082e-07,1
phnode_full,42,164,0.00409502,0.00429865,1.17279e-07,1
phnode_full,42,165,0.00409192,0.00426452,1.16963e-07,1
phnode_full,42,166,0.00406832,0.00430221,1.17072e-07,1
phnode_full,42,167,0.00408662,0.00424241,1.16983e-07,1
phnode_full,42,168,0.00403758,0.0042625,1.17067e-07,1
phnode_full,42,169,0.004061,0.00427232,1.17025e-07,1
phnode_full,42,170,0.00408589,0.00443882,1.17081e-07,1
phnode_full,42,171,0.0040776,0.004238,1.17069e-07,1
phnode_full,42,172,0.00403666,0.00427395,1.17119e-07,1
phnode_full,42,173,0.00406383,0.00421119,1.16848e-07,1
phnode_full,42,174,0.00401353,0.00419058,1.17147e-07,1
phnode_full,42,175,0.00401137,0.00424693,1.17053e-07,1
phnode_full,42,176,0.00401997,0.00418593,1.17104e-07,1
phnode_full,42,177,0.00399953,0.00423604,1.17108e-07,1
phnode_full,42,178,0.00401097,0.00421385,1.16936e-07,1
phnode_full,42,179,0.00399581,0.00423957,1.17172e-07,1
phnode_full,42,180,0.00401757,0.00416091,1.17141e-07,1
phnode_full,42,181,0.00398139,0.0041607,1.17162e-07,1
phnode_full,42,182,0.00398185,0.0042195,1.17155e-07,1
phnode_full,42,183,0.00400172,0.00416857,1.17201e-07,1
phnode_full,42,184,0.0039633,0.0041421,1.17081e-07,1
phnode_full,42,185,0.00396431,0.00417423,1.1708e-07,1
phnode_full,42,186,0.00396692,0.00415764,1.17213e-07,1
phnode_full,42,187,0.00398068,0.00413899,1.17189e-07,1
phnode_full,42,188,0.00397004,0.00412511,1.17224e-07,1
phnode_full,42,189,0.00395833,0.00415907,1.17086e-07,1
phnode_full,42,190,0.00395301,0.00415955,1.17172e-07,1
phnode_full,42,191,0.0039546,0.00414485,1.17021e-07,1
phnode_full,42,192,0.00394236,0.00409925,1.17174e-07,1
phnode_full,42,193,0.00392846,0.00413138,1.17232e-07,1
phnode_full,42,194,0.00393176,0.00410854,1.17162e-07,1
